分类	子分类	代码	名称	货币	股价	25涨幅	YTD	MKT_Cap_USD	TEV_USD	PE_25	PE_26	PE_27	PE_28	EV_25	EV_26	EV_27	EV_28	RevYoY_26	RevYoY_27	RevYoY_28	EBITDA_Margin_25	EBITDA_Margin_26	EBITDA_Margin_27	EBITDA_Margin_28	NP_Margin_25	NP_Margin_26	NP_Margin_27	NP_Margin_28
Fabless		SHSE:688041	Hygon 海光信息	CNY	348.24	0.461103896103896	0.5476645482423004	113.9635841637681	113.90278117681159	308.99113499918155	178.2161766709592	111.08783345549506	74.65225691101847	163.60574819759802	115.99217392573973	80.89834500073889	56.92747296440952	0.5635736813078709	0.46967099037147686	0.42299014219641196	0.33413342828312537	0.3014195695629755	0.2940629939305062	0.29366772198513114	0.17701262248278757	0.1962839467712315	0.21426206476424445	0.22406135037114674
Fabless		SHSE:688256	Cambricon 寒武纪	CNY	1406.01	1.0713972252166948	0.47969692402243935	124.71443425217392	123.82107609130435	417.8893112757654	127.72716298243894	76.24624107463336	46.454206903679676	422.3732747474334	124.66086575689053	62.44702473403163	41.05127937184388	2.3363973524456596	0.5109863031289212	0.6952058800619767	0.3113302011720071	0.31616207740065216	0.4177030402480767	0.3748264597555094	0.31694110453367563	0.3107984156387669	0.3445744699068754	0.3336215030069083
Fabless		SHSE:688795	Moore Threads 摩尔线程	CNY	673.73		0.10590765089213905	43.290961186956515	42.60576202608695	-298.47288624969343	-1186.9177280805598	752.412171763224	178.1202338640429	-301.3584163422791	-513.9506258391608	1547.261884105263		1.173438859928376	0.6036774801572073	0.5346355407336827	-0.6479568928596912	-0.17480772151499238	0.03620771796093378	0.0	-0.6647424985406752	-0.07691132371322638	0.07565507384468795	0.20824537439463553
Fabless		SHSE:688802	MetaX 沐曦股份	CNY	845.09		0.3878506207712016	42.387405797101444	41.15739425507247	-370.4787820334173	7450.689729839889	325.2880729738191	143.33318230915702	-406.77826264759517	2406.7089157530754	466.5943109101167	186.85026430843274	1.2741886892291556	0.8800185879467068	0.6335602890056127	-0.42463406723009356	0.03155894732647863	0.08658536517878451	0.1323594787745726	-0.48017350947089144	0.010498773431839713	0.12791007660277995	0.1777014567604359
Fabless		SHSE:603986	GigaDevice 兆易创新	CNY	627.11	0.9348093480934812	1.8476523476523479	66.93094716376811	64.79038043188406	280.2288746624394	60.6906329353632	52.47491420774559	50.6683540442293	253.05513410514268	62.23890448042441	61.73670282127678	61.0920911003287	1.2341261688024239	0.2388833280100051	0.15942715094310023	0.19195224308129785	0.34933227255192906	0.28426723739106174	0.24776604207868544	0.17906549290328444	0.37007983601431976	0.3454895723463628	0.308607458765198
Fabless		SHSE:688008	Montage 澜起科技	CNY	256.87	0.6843657817109146	1.142189975815195	47.692023405797094	45.26559881884057	147.19957972418288	90.15099479069507	63.20721166297626	49.93646849787619	158.48280359618417	86.52952105256755	60.91627443714171	47.21110916906912	0.37483596947609765	0.4166411473530165	0.26167395262996274	0.36118993443045655	0.4811744942679154	0.4824737746273662	0.4934188144554349	0.409721442163041	0.4866019594159177	0.4899117916260142	0.4914955179973668
Fabless		SZSE:301308	Longsys Electronics 江波龙	CNY	681.8	1.7878091486101995	1.676349362119725	41.80333254637681	43.64494538550725	202.65816443085848	20.699174350197342	44.369019315489915	33.06884431871596	137.35456205032338	12.735539328042154	20.481560022421505	32.26089476805739	0.8380781667878605	0.01552517970654299	0.5115531889124731	0.0963052542857693	0.5650823636667782	0.34599941599174827	0.1453244058048831	0.06251812099378953	0.3330067389953639	0.15298030386212083	0.13579159747241512
Fabless		SHSE:603501	OmniVision 豪威集团	CNY	100.63	0.17407407407407405	-0.20638801261829653	17.457040213043477	16.462667871014492	29.77532134923243	29.630830659540855	21.763677617946847	18.16318852489712	21.656858598576928	20.4500699623666	15.994872555856038	13.96259656038929	0.05285171126670618	0.20264807480397828	0.11256249321955836	0.18177564518202996	0.1828391317367605	0.19437687868560155	0.20014040926300475	0.14019905756065548	0.1338105998841823	0.15148286126412738	0.16314706984247768
Fabless		SHSE:688525	BIWIN Storage 佰维存储	CNY	425.23	0.8170468557336623	2.607006531512427	31.027456817391304	32.207552828985506	250.97374879846697	28.429646376734613	33.45147688125	25.73654529542586	185.2163508335519	43.269492702492215	44.99536637375987		1.3709840756045897	0.09139985558623787	0.38963096366502126	0.10615824971566683	0.1916560937383387	0.16887009643829295	0.0	0.07547328046755501	0.28100977684901857	0.21882336853716844	0.20467239130969664
Fabless		SHSE:688521	VeriSilicon 芯原股份	CNY	311.65	1.4300241296104792	1.2104404567699834	22.81938747536232	22.82619519855072	-298.31337071384695	403.8097118306511	210.81121596436083	123.18555321028335	-351.1654297489754	257.2307286305932	139.6506472262538	85.7963796659731	0.9657410200859635	0.3257205532269358	0.42961892401665724	-0.14227329303421787	0.09880660813033522	0.13728209452471055	0.1563031025704018	-0.16742984526443921	0.06292200241583122	0.09091459159152854	0.10882965160194799
